Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./torus_matrix_parrows 1024 +RTS -N256",4.311384218158551,4.174861735210595,4.397685411988505,0.13002980501315511,0.0,0.14947805246732987
"bench/./torus_matrix_eden 1024 +RTS -N256",4.302771705858139,4.240671023033945,4.3499044184161795,7.225064055429727e-2,0.0,8.163625284906585e-2
"bench/./torus_matrix_parrows 1024 +RTS -N64",4.997741900832846,4.9614400225810975,5.026947429281614,4.569688478806846e-2,0.0,5.058545913516367e-2
"bench/./torus_matrix_eden 1024 +RTS -N64",4.87227048821472,4.847797230363664,4.895776554586587,3.9902471672768766e-2,0.0,4.0713701242162545e-2
"bench/./torus_matrix_parrows 1024 +RTS -N16",7.31995701503561,7.278696592204658,7.35158380882502,4.863270796801377e-2,1.0877919644084146e-15,5.477921372376154e-2
"bench/./torus_matrix_eden 1024 +RTS -N16",7.20384152428489,7.15838095453433,7.228106347465911,3.963824948001883e-2,1.0877919644084146e-15,4.2027906586200946e-2
"bench/./torus_matrix_parrows 1024 +RTS -N1",99.36562503924317,98.89506521480332,99.60552029653938,0.4077519147400852,0.0,0.4155107741318388
"bench/./torus_matrix_eden 1024 +RTS -N1",100.93941424971585,100.16309244714232,101.67984436042052,1.2525370329848187,0.0,1.2824625711943116

