"bench/./skelrm-parr-eden-cp 4423 64 +RTS -N32",0.47915571503886417,0.4782575830377267,0.4802316553239291,3.7942974551406694e-3,3.0019845298203196e-3,4.729640268349524e-3
"bench/./skelrm-parr-eden-cp 4423 64 +RTS -N16",0.7222600539588421,0.7179263774212524,0.7270712498455967,1.591619089073311e-2,1.268419447837443e-2,2.3016231638275212e-2
"bench/./skelrm-parr-eden-cp 4423 64 +RTS -N8",0.9662466937824797,0.9651264222037282,0.9677838499950071,4.426710892757677e-3,3.6371673343136898e-3,5.744537670155044e-3
"bench/./skelrm-parr-eden-cp 4423 64 +RTS -N4",1.8386038877827127,1.8364749874820763,1.8414677125252912,7.228958620545729e-3,5.2434257091767e-3,1.102794875834135e-2
"bench/./skelrm-parr-eden-cp 4423 64 +RTS -N2",3.461592799996323,3.4598245246406374,3.4634725521349905,4.412229384022682e-3,3.320577052341978e-3,5.972716970911566e-3
"bench/./skelrm-parr-eden-cp 4423 64 +RTS -N1",6.835332144914903,6.831297732502013,6.839856806342215,8.874904049053625e-3,6.481359707771618e-3,1.348658837429655e-2
"bench/./skelrm-parr-mult 4423 64 +RTS -N32",0.5882392057445802,0.5844663971776769,0.5935980663025879,1.5543845079051164e-2,1.1771330335782409e-2,2.1836869893185316e-2
"bench/./skelrm-parr-mult 4423 64 +RTS -N16",1.4058113151080271,1.2369790889893977,1.5696509831778354,0.5139911806784159,0.4345838205446842,0.614007458073757
"bench/./skelrm-parr-mult 4423 64 +RTS -N8",2.7459457394095366,2.4628958609938785,3.085511436162715,0.8038768088796774,0.6112997397366998,1.1350289173068864
"bench/./skelrm-parr-mult 4423 64 +RTS -N4",5.569116660493163,5.2282198454508055,5.922808845663934,0.7621560876170377,0.5577442613393615,1.0788286427965619
"bench/./skelrm-parr-mult 4423 64 +RTS -N2",6.755255650612739,6.67289548416587,6.813445226027877,0.1406557890447622,9.06098882056919e-2,0.17968404876028057
"bench/./skelrm-parr-mult 4423 64 +RTS -N1",6.828644781527257,6.822632544291036,6.834875245653605,1.2315975756487338e-2,8.546355527339317e-3,1.7023859103317218e-2
"bench/./skelrm-parr-par 4423 64 +RTS -N32",0.5408177072090791,0.5385184503570248,0.5430951906231467,8.283449698076635e-3,6.928492727833482e-3,1.0246619056135704e-2
"bench/./skelrm-parr-par 4423 64 +RTS -N16",0.6368722778895445,0.634353202522631,0.6394810789070927,9.009137722119712e-3,7.269118235630425e-3,1.149885224348716e-2
"bench/./skelrm-parr-par 4423 64 +RTS -N8",0.995072306991959,0.9939385446225713,0.9964008185782303,3.8289628877630983e-3,3.006641087020721e-3,5.5467782844069585e-3
"bench/./skelrm-parr-par 4423 64 +RTS -N4",1.872215451648137,1.8698233285788914,1.8747298405837356,7.110486821789401e-3,5.030145390497803e-3,1.0526662874461716e-2
"bench/./skelrm-parr-par 4423 64 +RTS -N2",3.4888094902979194,3.4868987888796865,3.4914518457772257,5.505894958581593e-3,4.202084226235296e-3,8.381413382084252e-3
"bench/./skelrm-parr-par 4423 64 +RTS -N1",6.854273500277172,6.852953934305771,6.855749284425246,2.8749919271134285e-3,2.112393607165512e-3,4.264830879576158e-3
