"","name","time","nCores","speedup","stddev"
"2","bench/./torus_matrix_parrows_eden_sm 512",4.803625065871863,2,1.7219358307593085,1.3003275262103962e-2
"3","bench/./torus_matrix_parrows_eden_sm 512",2.717438550678637,4,3.0438716328627264,6.399799461375318e-3
"4","bench/./torus_matrix_parrows_eden_sm 512",1.7016325590857682,8,4.860940203743122,1.7913418837691958e-2
"5","bench/./torus_matrix_parrows_eden_sm 512",1.2611674478326576,16,6.558632743552893,8.547446046412084e-2
