"","name","time","nCores","speedup"
"2","bench/./skelrm-parrows 9941 256",15.273089358520489,16,14.62831963476716
"3","bench/./skelrm-parrows 9941 256",9.095851814673681,32,24.562804836636836
"4","bench/./skelrm-parrows 9941 256",5.591593397145439,64,39.95634465497017
"5","bench/./skelrm-parrows 9941 256",3.9077579695409126,128,57.17335482090929
"6","bench/./skelrm-parrows 9941 256",3.6362553227125445,256,61.442229194217816
"7","bench/./skelrm-parrows 9941 256",4.4318916752292346,512,50.411799141106606
