Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N32",0.7761764648506245,0.7436496914194227,0.797127667188386,3.1484500633643886e-2,0.0,3.628854692865905e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N32",0.6832670876271228,0.6670165863268673,0.6939452705048125,1.6022367521964998e-2,0.0,1.8495155276670408e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N32",0.7670026426650929,0.7387695368792321,0.7839115124401581,2.584578299972743e-2,0.0,2.9287021548978644e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N32",0.6325955423973846,0.6158750076259877,0.6419764215953282,1.4800575952400257e-2,0.0,1.6248159390504318e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N32",10.298416994194639,10.122374787057296,10.399746995198418,0.157598492311267,0.0,0.17550871006955296
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N32",0.6938077598326253,0.6283941269333865,0.7336887182252737,6.060051435735363e-2,0.0,6.907584619060729e-2
"bench/./sudoku-seq sudoku17.1000.txt",6.587500983066064,6.58392970764793,6.589319283804865,3.094367131697002e-3,0.0,3.149389263042968e-3
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N32",11.25470787265362,10.953379638989695,11.426109003165125,0.26827083689692394,0.0,0.29687546652067087
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N32",8.02952345397865,7.993909730927716,8.055113621573362,3.868425561477845e-2,0.0,4.4323470448245306e-2
